epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.606,1.28303,12.4447,0.01747,0.37334,0.6733,0.39596,0.2769,1.13518,8.44325,0.01585,0.00043342,0.00043342,0.00043342
2,26.6225,0.83173,6.46129,0.01144,0.57328,0.52915,0.59834,0.47007,0.64179,3.95152,0.01004,0.000880594,0.000880594,0.000880594
3,31.8783,0.9549,4.97271,0.01384,0.49086,0.62896,0.5752,0.35634,1.45512,3.92886,0.02269,0.0013248,0.0013248,0.0013248
4,36.5424,1.33288,3.67244,0.01942,0.66356,0.70814,0.70934,0.45805,1.31994,3.11763,0.01809,0.0016505,0.0016505,0.0016505
5,41.3848,1.1216,2.83932,0.0166,0.31096,0.59859,0.36341,0.24745,0.92944,3.44104,0.01412,0.001645,0.001645,0.001645
6,47.1247,1.31557,2.10379,0.01863,0.50768,0.85023,0.57755,0.43647,0.89327,2.37957,0.01436,0.00163949,0.00163949,0.00163949
7,52.1588,0.99124,1.65614,0.01427,0.73964,0.77946,0.83647,0.51484,1.24682,1.59131,0.0201,0.00163399,0.00163399,0.00163399
8,58.7984,1.02979,1.395,0.01527,0.84139,0.66048,0.8302,0.52403,1.01285,1.41888,0.01658,0.00162849,0.00162849,0.00162849
9,66.0207,0.98,1.24603,0.01449,0.79347,0.84838,0.90459,0.64903,1.05649,0.96545,0.01714,0.00162299,0.00162299,0.00162299
10,71.3296,0.9236,0.9778,0.01373,0.83746,0.81201,0.90654,0.69515,0.81955,0.90115,0.01305,0.00161749,0.00161749,0.00161749
11,76.7221,0.94247,0.86386,0.01328,0.74137,0.85517,0.86221,0.59051,1.09238,0.86211,0.01706,0.00161199,0.00161199,0.00161199
12,82.8887,0.87392,0.75425,0.01276,0.89162,0.85135,0.91907,0.68257,0.86046,0.72125,0.01391,0.00160649,0.00160649,0.00160649
13,89.6748,0.95045,0.68515,0.01488,0.87222,0.93532,0.97685,0.67694,1.00182,0.6616,0.01653,0.00160099,0.00160099,0.00160099
14,95.0947,0.82511,0.58851,0.01182,0.90399,0.92579,0.97694,0.76683,0.74914,0.5366,0.01112,0.00159549,0.00159549,0.00159549
15,102.063,0.81718,0.52106,0.01142,0.9052,0.93348,0.96568,0.7201,0.97176,0.55811,0.01382,0.00158998,0.00158998,0.00158998
16,108.304,0.79093,0.49571,0.01096,0.96892,0.91602,0.98519,0.76767,0.7037,0.49073,0.01114,0.00158448,0.00158448,0.00158448
17,114.385,0.74307,0.48321,0.01009,0.93895,0.93982,0.98141,0.76829,0.73993,0.44977,0.01209,0.00157898,0.00157898,0.00157898
18,119.582,0.71275,0.41237,0.00972,0.98896,0.95457,0.99228,0.76116,0.86335,0.45082,0.0127,0.00157348,0.00157348,0.00157348
19,126.618,0.73634,0.44803,0.01064,0.97232,0.87371,0.98633,0.73865,0.9452,0.49657,0.01415,0.00156798,0.00156798,0.00156798
20,133.102,0.78243,0.40511,0.01233,0.94617,0.90892,0.97869,0.73426,0.88296,0.41578,0.01413,0.00156248,0.00156248,0.00156248
21,139.723,0.76577,0.39322,0.01151,1,0.96095,0.99224,0.8139,0.72447,0.36734,0.01015,0.00155698,0.00155698,0.00155698
22,146.282,0.80256,0.39395,0.01111,0.96927,0.96897,0.99099,0.79891,0.72527,0.3829,0.01111,0.00155148,0.00155148,0.00155148
23,151.557,0.74234,0.41308,0.01073,0.99218,0.91615,0.98798,0.78623,0.78193,0.34769,0.0125,0.00154598,0.00154598,0.00154598
24,156.776,0.70445,0.35411,0.01036,0.99275,0.94839,0.98979,0.77062,0.85629,0.36005,0.01323,0.00154047,0.00154047,0.00154047
25,162.571,0.67959,0.34521,0.0099,0.95465,0.91389,0.98057,0.74097,0.91239,0.40038,0.01305,0.00153497,0.00153497,0.00153497
26,168.711,0.74564,0.35659,0.01129,0.99055,0.9143,0.98681,0.67871,0.97132,0.4009,0.01461,0.00152947,0.00152947,0.00152947
27,173.913,0.66993,0.36426,0.01034,0.93575,0.86697,0.96382,0.72572,0.75727,0.42747,0.01222,0.00152397,0.00152397,0.00152397
28,178.893,0.67609,0.36229,0.01004,0.8611,0.96023,0.98017,0.73171,0.821,0.36841,0.01312,0.00151847,0.00151847,0.00151847
29,183.84,0.71481,0.34431,0.01063,0.96242,0.9552,0.98962,0.75455,0.84039,0.39738,0.01179,0.00151297,0.00151297,0.00151297
30,189.157,0.67316,0.32007,0.00955,0.9394,0.96923,0.98463,0.71581,0.90713,0.42062,0.01468,0.00150747,0.00150747,0.00150747
31,194.578,0.6052,0.30218,0.00867,0.96828,0.97929,0.988,0.75005,0.79699,0.2938,0.01349,0.00150197,0.00150197,0.00150197
32,200.015,0.59514,0.32122,0.00836,0.99581,0.96193,0.99229,0.79799,0.71862,0.29612,0.01084,0.00149647,0.00149647,0.00149647
33,205.133,0.59349,0.30036,0.00773,0.96636,0.96132,0.99271,0.82464,0.67253,0.30065,0.00965,0.00149096,0.00149096,0.00149096
34,210.076,0.67698,0.29706,0.00939,0.98754,0.9181,0.98805,0.79095,0.82347,0.32361,0.0116,0.00148546,0.00148546,0.00148546
35,215.184,0.62042,0.26555,0.00823,0.93979,0.99386,0.98289,0.7853,0.76387,0.30577,0.0109,0.00147996,0.00147996,0.00147996
36,220.184,0.61953,0.27997,0.0084,0.99236,0.93491,0.99075,0.76788,0.88739,0.36361,0.01254,0.00147446,0.00147446,0.00147446
37,225.956,0.64778,0.27573,0.00884,0.95866,0.95625,0.98685,0.83711,0.52625,0.23622,0.00839,0.00146896,0.00146896,0.00146896
38,231.139,0.6586,0.27064,0.00869,0.94624,0.95867,0.98795,0.81751,0.61972,0.26667,0.00987,0.00146346,0.00146346,0.00146346
39,236.211,0.60419,0.27212,0.00825,0.94061,1,0.98664,0.78938,0.76829,0.30104,0.0113,0.00145796,0.00145796,0.00145796
40,240.995,0.62767,0.2656,0.00891,0.92639,0.94969,0.98625,0.82442,0.66441,0.2959,0.00934,0.00145246,0.00145246,0.00145246
41,247.456,0.57069,0.2559,0.00774,0.93284,0.98462,0.98444,0.80213,0.73832,0.2957,0.0101,0.00144696,0.00144696,0.00144696
42,253.61,0.61594,0.26943,0.00825,0.956,0.96198,0.99067,0.81077,0.7127,0.30054,0.01086,0.00144145,0.00144145,0.00144145
43,258.755,0.53289,0.24669,0.00714,1,0.8883,0.98574,0.82777,0.64733,0.28302,0.00946,0.00143595,0.00143595,0.00143595
44,264.328,0.52088,0.24434,0.00676,0.96202,0.98375,0.99234,0.81678,0.67116,0.29572,0.00966,0.00143045,0.00143045,0.00143045
45,269.338,0.51349,0.24444,0.00675,0.9642,0.98678,0.99275,0.82469,0.60296,0.26111,0.00875,0.00142495,0.00142495,0.00142495
46,274.867,0.48275,0.2304,0.00632,0.93562,0.98392,0.98625,0.79016,0.80424,0.30494,0.01065,0.00141945,0.00141945,0.00141945
47,282.049,0.50528,0.21881,0.00697,0.98458,0.93463,0.99147,0.84156,0.61447,0.25343,0.00784,0.00141395,0.00141395,0.00141395
48,288.39,0.47082,0.20958,0.00645,0.92666,0.98384,0.98945,0.82477,0.60256,0.26366,0.00894,0.00140845,0.00140845,0.00140845
49,296.076,0.46966,0.21054,0.0063,0.96357,0.99163,0.99317,0.86518,0.50151,0.21442,0.00731,0.00140295,0.00140295,0.00140295
50,301.031,0.49814,0.21011,0.00647,0.98446,0.95372,0.99345,0.80116,0.80924,0.31559,0.01078,0.00139745,0.00139745,0.00139745
51,305.237,0.49705,0.21599,0.00626,0.96663,0.97692,0.9869,0.86491,0.50126,0.22463,0.0076,0.00139195,0.00139195,0.00139195
52,309.945,0.57337,0.23406,0.00778,0.96079,0.99231,0.98939,0.84687,0.53857,0.23598,0.00857,0.00138644,0.00138644,0.00138644
53,315.572,0.50051,0.20681,0.00686,0.99656,0.98229,0.99441,0.79729,0.67299,0.2404,0.01018,0.00138094,0.00138094,0.00138094
54,321.789,0.55386,0.24058,0.00769,0.96976,0.97531,0.98514,0.80893,0.68172,0.28487,0.01002,0.00137544,0.00137544,0.00137544
55,327.62,0.47893,0.19818,0.0065,0.98804,0.93348,0.98554,0.85148,0.53314,0.21649,0.00782,0.00136994,0.00136994,0.00136994
56,333.351,0.48783,0.21409,0.00686,0.96212,0.98807,0.98679,0.81404,0.62289,0.27749,0.0097,0.00136444,0.00136444,0.00136444
